Date,Location,Import Oils,Import Animal Products,Import Processed Food,Import Vegetable Products,Price Oils,Price Animal Products,Price Processed Food,Price Vegetable Products
2017-01-01,Alberta,1809.0,9208.0,77386.0,52144.0,8.363333333333333,6.31675925925926,3.726388888888889,3.082820512820513
2017-01-01,British Columbia,7164.0,45687.0,132974.0,112949.0,8.633333333333333,6.24550925925926,3.779166666666667,3.124615384615385
2017-01-01,Canada,36919.0,259695.0,1188748.0,564754.0,7.09,6.00825,3.5741666666666663,2.9625641025641025
2017-01-01,Manitoba,1721.0,4384.0,64972.0,25552.0,8.413333333333332,6.0405,3.6197222222222223,3.063076923076923
2017-01-01,New Brunswick,1060.0,19100.0,13297.0,6500.0,8.203333333333333,5.685740740740741,3.7047222222222222,3.247179487179487
2017-01-01,Newfoundland and Labrador,0.0,0.0,134.0,0.0,8.563333333333333,5.86721568627451,3.828333333333333,3.6925641025641025
2017-01-01,Nova Scotia,0.0,251.0,10289.0,0.0,8.25,5.553296296296296,3.713055555555555,3.2348717948717947
2017-01-01,Ontario,22789.0,161224.0,785692.0,327967.0,6.816666666666666,5.911722222222222,3.4594444444444448,2.8825641025641024
2017-01-01,Prince Edward Island,0.0,108.0,15.0,0.0,8.163333333333332,5.665509259259259,3.598888888888889,3.2435897435897436
2017-01-01,Quebec,1262.0,12102.0,72270.0,27095.0,7.346666666666667,6.490981481481481,3.610555555555555,2.991025641025641
2017-01-01,Saskatchewan,1115.0,7391.0,31720.0,12547.0,8.56,6.090361111111111,3.6425,3.1256410256410256
2017-02-01,Alberta,1506.0,9983.0,70259.0,48893.0,6.47,6.368092592592593,3.7830555555555554,3.0743589743589745
2017-02-01,British Columbia,6257.0,37065.0,128860.0,107418.0,6.91,6.412305555555555,3.8455555555555554,3.1184615384615384
2017-02-01,Canada,31045.0,233977.0,1113905.0,569018.0,6.493333333333333,6.05512037037037,3.608055555555556,2.9464102564102563
2017-02-01,Manitoba,2160.0,3100.0,56742.0,32531.0,6.773333333333333,6.153583333333334,3.657777777777778,3.071025641025641
2017-02-01,New Brunswick,347.0,10680.0,9015.0,3980.0,8.946666666666667,5.791768518518519,3.753055555555555,3.2182051282051285
2017-02-01,Newfoundland and Labrador,0.0,0.0,257.0,1.0,9.016666666666666,5.967235294117647,3.815555555555555,3.612307692307692
2017-02-01,Nova Scotia,0.0,19.0,945.0,312.0,8.98,5.6857037037037035,3.7619444444444445,3.201794871794872
2017-02-01,Ontario,18319.0,155160.0,743155.0,333489.0,6.1866666666666665,5.988074074074074,3.46,2.8592307692307695
2017-02-01,Prince Edward Island,0.0,12.0,14.0,0.0,8.916666666666666,5.712777777777777,3.6502777777777777,3.2105128205128204
